body_type,sex,diet,shower_freq,heat_energy_source,transport,vehicle_type,social,monthly_grocery_bill,air_travel_freq,vehicle_km,waste_bag_size,waste_bag_count,tv_daily_time,monthly_clothes,internet_daily_time,energy_eff,recycling,cooking_with,CarbonEmission
overweight,female,pescatarian,daily,coal,public,,often,230,frequently,210,large,4,21.44470099,26,3.927957015,No,['Metal'],"['Stove', 'Oven']",2238
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,114,rarely,9,extra large,3,15.89636024,38,22.94843927,No,['Metal'],"['Stove', 'Microwave']",1892
overweight,male,omnivore,more frequently,wood,private,petrol,never,138,never,2472,small,1,6.250881136,47,5.005540827,Sometimes,['Metal'],"['Oven', 'Microwave']",2595
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,157,rarely,74,medium,3,4.843125642,5,20.0987436,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074
obese,female,vegetarian,daily,coal,private,diesel,often,266,very frequently,8457,large,1,22.52075897,5,0.562808785,Yes,['Paper'],['Oven'],4743
overweight,male,vegetarian,less frequently,wood,public,,sometimes,144,frequently,658,large,1,20.717614,18,8.201492339,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647
underweight,female,vegan,less frequently,wood,private,hybrid,never,56,rarely,5363,medium,4,6.462934727,11,18.10819793,Sometimes,[],"['Grill', 'Airfryer']",1832
underweight,female,vegan,more frequently,coal,walk/bicycle,,sometimes,59,very frequently,54,extra large,3,7.899379538,39,8.765428027,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322
overweight,male,omnivore,daily,wood,public,,never,200,frequently,1376,medium,3,3.515274617,31,10.31615582,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",2494
underweight,female,pescatarian,daily,wood,public,,often,135,rarely,440,extra large,1,9.888653322,23,3.183848023,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1178
normal,female,vegetarian,more frequently,wood,public,,never,146,never,1561,extra large,4,21.32550124,27,8.034192848,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427
obese,male,vegetarian,more frequently,coal,walk/bicycle,,never,111,very frequently,69,medium,5,17.14366562,4,1.783213192,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226
underweight,female,omnivore,twice a day,coal,walk/bicycle,,often,114,rarely,92,large,3,21.60110787,27,23.39945518,Yes,['Plastic'],['Stove'],1593
underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,111,rarely,2893,large,6,20.37135562,16,9.875901734,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732
obese,male,pescatarian,less frequently,natural gas,public,,often,123,rarely,1989,small,6,9.04538842,23,4.858790866,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743
overweight,female,vegetarian,less frequently,electricity,public,,never,225,very frequently,692,small,6,23.68331067,24,8.0003535,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101
normal,male,pescatarian,more frequently,electricity,walk/bicycle,,often,219,frequently,7,extra large,4,18.31159856,42,8.396377438,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609
overweight,female,pescatarian,daily,wood,public,,often,104,rarely,948,large,6,19.85462855,6,13.07013409,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1565
underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,7622,medium,2,3.279969928,37,2.235262589,Sometimes,[],['Stove'],5272
normal,female,omnivore,more frequently,wood,walk/bicycle,,often,288,never,51,small,4,15.41097688,22,11.72250327,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220
normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,2237,large,6,10.68011396,8,3.980162144,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300
obese,female,pescatarian,less frequently,wood,public,,never,69,rarely,1804,large,1,5.249799063,3,15.42011629,No,['Metal'],"['Stove', 'Oven', 'Microwave']",1024
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,110,never,85,small,3,12.97752973,4,3.601656108,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706
obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,472,small,4,22.47777385,24,9.585655043,Yes,"['Paper', 'Glass']",['Microwave'],2582
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,19.12456189,20,2.950274502,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,94,rarely,88,medium,6,19.58341481,0,23.05718917,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807
underweight,female,vegan,daily,electricity,public,,often,259,frequently,558,large,4,12.63153162,50,20.58311913,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1991
obese,male,vegetarian,less frequently,electricity,public,,sometimes,67,rarely,752,large,3,15.05225537,37,4.729228935,Sometimes,['Plastic'],['Stove'],1817
obese,male,pescatarian,daily,wood,walk/bicycle,,never,130,rarely,71,small,2,19.52879123,15,12.66252544,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1490
underweight,female,omnivore,less frequently,electricity,public,,never,258,frequently,1028,small,2,23.29936986,44,14.75313758,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561
obese,female,vegan,more frequently,wood,public,,sometimes,189,frequently,1527,medium,4,15.83781677,34,8.742062481,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202
underweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,262,frequently,88,large,5,20.70871669,8,3.565086261,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024
normal,female,pescatarian,daily,natural gas,walk/bicycle,,never,157,frequently,73,medium,4,0.252603834,42,22.56311841,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,21.27962029,0,13.54314172,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,121,never,72,medium,6,8.589397729,4,6.789818876,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204
underweight,female,vegan,less frequently,coal,walk/bicycle,,often,174,very frequently,9,large,2,22.57857779,40,14.80901725,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,173,frequently,60,medium,2,2.861545186,14,20.20456695,Sometimes,"['Plastic', 'Glass']",[],1640
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,199,frequently,13,medium,5,18.45145553,6,15.24503167,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648
underweight,male,omnivore,less frequently,wood,walk/bicycle,,never,94,rarely,32,small,6,23.94990769,5,14.31690354,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002
underweight,female,pescatarian,less frequently,coal,walk/bicycle,,never,64,frequently,49,small,1,18.22116414,47,9.94403903,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771
overweight,female,omnivore,twice a day,electricity,public,,never,100,very frequently,1351,extra large,1,7.501724225,24,0.202411513,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028
normal,female,vegetarian,more frequently,coal,public,,often,240,very frequently,1726,medium,2,4.42183331,19,21.22441139,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540
underweight,female,omnivore,daily,electricity,public,,sometimes,245,never,1021,medium,7,5.514171709,48,13.01040712,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386
normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,270,rarely,62,small,5,4.085968788,21,20.35901441,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16.94303541,20,23.39155844,Yes,['Glass'],[],3141
normal,male,vegetarian,more frequently,wood,public,,never,87,very frequently,1037,large,4,0.56216103,11,13.04138718,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,18.99371497,43,16.2553008,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,17.65923734,11,20.61133371,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174
overweight,female,vegetarian,more frequently,natural gas,public,,sometimes,276,frequently,1461,large,7,1.804591262,5,15.72203551,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327
overweight,female,vegan,daily,wood,walk/bicycle,,never,90,very frequently,39,medium,3,17.99157213,7,5.687145772,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,12.43405004,43,10.49801915,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665
underweight,male,vegan,daily,electricity,public,,sometimes,246,frequently,1065,extra large,4,10.4843255,43,14.63609983,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129
normal,male,pescatarian,less frequently,wood,public,,often,94,rarely,927,medium,5,23.47183736,10,18.35860895,Yes,"['Paper', 'Glass']",['Oven'],1425
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,21.70962199,11,12.20204195,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,never,200,rarely,97,medium,7,10.58955314,18,13.50071472,Sometimes,['Metal'],"['Stove', 'Microwave']",1717
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,16.99385777,38,0.504902381,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,5260,extra large,3,3.783932518,18,3.798549232,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262
overweight,female,pescatarian,more frequently,coal,public,,often,73,rarely,1750,extra large,1,8.778615367,30,3.178547995,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674
obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,2998,small,4,2.780226977,36,22.61450098,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3135
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,9147,extra large,5,21.3600651,49,15.81016309,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465
overweight,male,pescatarian,twice a day,electricity,public,,never,256,rarely,1947,extra large,3,4.511907656,33,0.676125806,Sometimes,[],['Stove'],1984
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,4885,large,1,3.261642989,21,15.90581983,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246
obese,female,omnivore,daily,electricity,walk/bicycle,,never,63,frequently,20,large,4,14.50686878,6,23.82323361,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,158,never,23,extra large,1,2.843928722,33,6.855703941,No,['Glass'],['Stove'],1929
obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,241,frequently,34,large,5,20.95193388,15,4.312396168,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719
obese,female,vegetarian,twice a day,coal,walk/bicycle,,never,176,frequently,59,large,1,19.78795571,41,8.114873396,Yes,['Paper'],"['Stove', 'Oven']",2336
normal,female,vegetarian,less frequently,wood,public,,often,189,never,682,small,6,15.6652017,35,16.95463173,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,214,never,10,large,6,4.486310245,12,12.8404893,Yes,['Glass'],"['Stove', 'Microwave']",1803
normal,female,vegan,daily,electricity,walk/bicycle,,sometimes,264,very frequently,10,medium,1,3.499731065,22,16.43181375,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1816
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,7964,small,1,17.9508027,43,0.127689215,No,"['Paper', 'Plastic']","['Stove', 'Oven']",4638
underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,3606,small,3,17.45945356,8,15.75656473,Sometimes,"['Plastic', 'Metal']",['Stove'],1909
normal,male,vegan,less frequently,natural gas,public,,sometimes,280,frequently,536,large,2,20.07586193,30,22.83146856,Yes,['Plastic'],['Oven'],2021
normal,male,omnivore,more frequently,natural gas,public,,never,125,rarely,1564,large,5,3.150430382,15,10.72065026,No,['Metal'],"['Oven', 'Microwave']",1896
obese,male,vegan,daily,electricity,walk/bicycle,,never,188,frequently,78,small,4,0.003479287,21,9.490610957,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1770
normal,female,omnivore,daily,wood,walk/bicycle,,often,251,never,98,small,1,21.48216692,47,18.31878142,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323
normal,female,pescatarian,daily,wood,public,,never,285,very frequently,1820,small,1,5.256337638,24,23.36026196,Yes,['Plastic'],"['Grill', 'Airfryer']",2269
obese,male,vegan,more frequently,wood,public,,never,234,never,243,extra large,4,15.37012562,36,23.71199624,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918
overweight,female,vegan,daily,natural gas,public,,sometimes,91,very frequently,1586,small,7,4.34442651,43,13.97137303,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,118,frequently,11,large,3,11.46310883,10,2.393066248,No,['Paper'],"['Stove', 'Oven']",1444
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,75,never,72,small,5,18.41260168,42,9.985769136,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254
overweight,male,vegetarian,more frequently,electricity,public,,never,134,never,1157,small,5,14.35095932,35,21.79150192,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1411
underweight,male,pescatarian,daily,wood,public,,often,282,never,1380,extra large,4,5.118461857,11,4.661507366,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,13.48925418,2,4.719574451,No,['Paper'],"['Stove', 'Oven']",3054
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,202,very frequently,92,extra large,6,8.553185443,16,19.35033567,Yes,[],"['Grill', 'Airfryer']",2902
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22.97271577,8,2.364804552,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301
normal,female,vegan,twice a day,electricity,walk/bicycle,,often,223,very frequently,50,small,3,21.27564838,35,2.969537698,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,1.999736479,37,8.518424056,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,22.69740476,41,21.3431047,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,21.64931758,21,18.65618568,Yes,"['Paper', 'Plastic']",[],3098
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,236,rarely,42,extra large,2,8.008842794,15,1.425559024,Yes,"['Plastic', 'Metal']",[],1364
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,7.96725832,31,20.66900763,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,249,frequently,41,large,4,10.62164552,2,16.45970379,Sometimes,['Paper'],['Microwave'],1349
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,213,never,71,medium,1,11.72912008,17,9.626866263,Yes,"['Plastic', 'Glass']",['Microwave'],1038
obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,81,never,39,medium,7,14.03114886,31,18.11010803,No,"['Plastic', 'Glass']",[],1815
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,91,very frequently,50,extra large,1,20.53019877,29,4.793788375,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2566
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,14.08486871,23,19.06588248,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,11.72922898,7,3.650795909,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056
overweight,female,pescatarian,more frequently,natural gas,public,,often,89,very frequently,631,medium,7,12.2657863,0,13.92903685,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299
overweight,male,vegan,twice a day,electricity,public,,never,121,rarely,194,large,6,8.99859582,16,23.46680898,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492
underweight,female,omnivore,daily,coal,walk/bicycle,,often,198,rarely,46,medium,1,3.119121387,45,17.38780623,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,234,frequently,37,extra large,3,2.766303742,29,7.672916555,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2581
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,84,rarely,31,large,2,7.618571348,1,3.83158383,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,15.72284491,9,20.28260307,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,275,never,6,extra large,2,11.39890551,49,17.33304965,Yes,['Paper'],['Stove'],1751
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,228,very frequently,40,small,6,12.62652043,35,23.13745066,Sometimes,['Glass'],"['Stove', 'Microwave']",2562
overweight,male,vegan,more frequently,wood,walk/bicycle,,never,140,frequently,1,large,6,6.279860965,24,19.56336209,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,232,never,1341,extra large,1,2.318971503,8,20.26050501,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657
normal,female,pescatarian,twice a day,electricity,public,,often,115,very frequently,393,small,3,18.60913697,13,22.84672148,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758
obese,female,vegan,daily,natural gas,public,,never,157,frequently,191,medium,4,22.68173909,44,2.832106357,Sometimes,"['Plastic', 'Glass']",['Microwave'],2184
obese,female,pescatarian,twice a day,coal,public,,sometimes,156,very frequently,131,extra large,1,19.89588882,20,8.903408021,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,4.945095182,43,6.305099597,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,16.79388284,26,20.29806867,No,[],['Microwave'],1122
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,11.75001981,14,3.017446962,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,214,never,87,medium,3,0.293080267,32,0.600726192,No,['Plastic'],['Microwave'],1346
underweight,female,vegan,twice a day,natural gas,walk/bicycle,,never,126,rarely,3,small,5,8.441036655,3,3.36607099,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",671
underweight,female,omnivore,twice a day,wood,walk/bicycle,,often,91,frequently,13,extra large,1,4.122917418,44,23.40473147,Yes,"['Paper', 'Glass']",['Microwave'],1695
normal,female,omnivore,more frequently,electricity,walk/bicycle,,never,205,never,74,large,3,11.74300043,2,4.421307728,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",810
underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,7743,extra large,3,3.672088673,33,11.24862537,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2768
underweight,female,vegan,more frequently,natural gas,public,,never,178,never,993,large,7,23.81305559,2,9.437591609,Sometimes,"['Paper', 'Plastic', 'Glass']",['Microwave'],1033
obese,female,omnivore,twice a day,coal,public,,sometimes,236,rarely,1997,large,4,17.72838416,17,16.60072179,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2046
obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,2721,small,6,0.35592614,30,6.614201314,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2171
normal,female,vegetarian,daily,coal,walk/bicycle,,often,108,rarely,5,medium,7,10.48522603,0,8.226026976,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1312
obese,male,vegan,twice a day,wood,public,,sometimes,76,rarely,941,large,1,5.780642224,3,12.01205899,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1209
underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8815,small,2,19.39555914,37,16.15399958,Sometimes,['Metal'],['Microwave'],4017
normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,3276,extra large,1,21.02833103,10,14.31542881,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",877
obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,3309,medium,5,14.54253566,16,4.922512086,Yes,['Paper'],['Microwave'],1856
obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,2623,medium,2,0.474790499,31,7.693282415,No,"['Glass', 'Metal']",['Microwave'],2197
obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,7915,large,1,23.79134795,10,5.232901674,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",4281
underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8897,small,3,11.84514649,3,15.77960157,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",3480
underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,,often,189,never,19,medium,1,11.72654625,36,18.06323408,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",953
underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,3662,small,2,10.08629131,44,7.061799738,Yes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2046
obese,male,vegan,twice a day,coal,private,petrol,never,193,never,611,large,6,21.80476802,37,21.88212304,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2521
overweight,male,omnivore,twice a day,wood,public,,never,238,very frequently,1431,large,6,15.3782441,33,2.554173107,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3551
normal,male,pescatarian,twice a day,wood,public,,sometimes,101,never,1978,medium,3,0.995108765,36,8.376483357,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1459
underweight,male,vegan,daily,electricity,walk/bicycle,,sometimes,99,very frequently,92,extra large,2,13.54729904,29,0.786552011,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2492
obese,male,omnivore,daily,coal,walk/bicycle,,often,50,frequently,82,large,1,9.443048329,23,12.52818395,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2411
obese,female,pescatarian,daily,coal,public,,never,71,very frequently,1851,large,7,21.60887588,0,10.96121026,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],2761
underweight,female,vegetarian,twice a day,wood,public,,sometimes,232,rarely,1224,extra large,3,23.91337766,26,18.9196087,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1500
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,247,never,8219,extra large,5,20.85448869,2,10.98192662,Sometimes,['Glass'],"['Stove', 'Oven']",1708
obese,female,omnivore,less frequently,coal,public,,sometimes,222,never,1390,extra large,4,11.04048043,2,8.560512294,No,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1717
overweight,male,vegan,less frequently,wood,public,,sometimes,61,frequently,434,medium,1,3.648548768,41,9.775231477,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2135
