body_type,sex,diet,shower_freq,heat_energy_source,transport,social,monthly_grocery_bill,air_travel_freq,vehicle_km,waste_bag_size,waste_bag_count,tv_daily_time,monthly_clothes,internet_daily_time,energy_eff,recycling,cooking_with,CE
2,0,1,0,0,1,1,230,0,210,1,4,21.44470099,26,3.927957015,0,11,12,7.71333788887187
1,0,3,1,2,2,1,114,2,9,0,3,15.89636024,38,22.94843927,0,11,10,7.545389749611823
2,1,0,2,3,0,0,138,1,2472,3,1,6.250881136,47,5.005540827,1,11,9,7.861341795599989
2,1,0,3,3,2,2,157,2,74,2,3,4.843125642,5,20.0987436,1,0,3,6.97914527506881
1,0,3,0,0,0,1,266,3,8457,1,1,22.52075897,5,0.562808785,2,13,13,8.464425125877582
2,1,3,1,3,1,2,144,0,658,1,1,20.717614,18,8.201492339,1,1,8,7.4067107301776405
3,0,2,1,3,0,0,56,2,5363,2,4,6.462934727,11,18.10819793,1,15,7,7.513163545234075
3,0,2,2,0,2,2,59,3,54,0,3,7.899379538,39,8.765428027,0,4,10,7.7501841622578365
2,1,0,0,3,1,0,200,0,1376,2,3,3.515274617,31,10.31615582,2,7,3,7.821643126239982
3,0,1,0,3,1,1,135,2,440,0,1,9.888653322,23,3.183848023,1,7,3,7.071573364211532
0,0,3,2,3,1,0,146,1,1561,0,4,21.32550124,27,8.034192848,0,12,10,7.2633296174768365
1,1,3,2,0,2,0,111,3,69,2,5,17.14366562,4,1.783213192,1,15,8,8.078998258685154
3,0,0,3,0,2,1,114,2,92,1,3,21.60110787,27,23.39945518,2,14,14,7.373374309910049
3,0,2,1,1,0,2,111,2,2893,1,6,20.37135562,16,9.875901734,1,2,0,7.4570320891223805
1,1,1,1,2,1,1,123,2,1989,3,6,9.04538842,23,4.858790866,0,8,12,7.463363045520021
2,0,3,1,1,1,0,225,3,692,3,6,23.68331067,24,8.0003535,0,0,12,7.650168700845001
0,1,1,2,1,2,1,219,0,7,0,4,18.31159856,42,8.396377438,1,15,1,7.866722285136729
2,0,1,0,3,1,1,104,2,948,1,6,19.85462855,6,13.07013409,2,13,6,7.355641102974253
3,1,2,2,1,0,1,126,3,7622,2,2,3.279969928,37,2.235262589,1,15,14,8.570165076182343
